FeedbackID,Feedback,Sentiment_Label,Source,Date
219,Customer service response time is too slow.,Negative,Email,2025-09-09
1032,"It's okay, nothing special. I might try it again.",Neutral,Chat Log,2025-09-12
548,,Negative,Chat Log,2025-09-08
545,"Love the new update, everything is much smoother now!",Positive,Social Media,2025-09-05
461,"  <p>Love the new update, everything is much smoother now!</p>  ",Positive,Social Media,2025-09-11
648,Neutral feeling about the new features.,Neutral,Chat Log,2025-09-18
398,I can't find the setting I need.,Neutral,Social Media,2025-09-08
106,The app crashed during payment. Very disappointed.,Negative,Social Media,2025-09-16
1035,"It's okay, nothing special.",Neutral,Chat Log,2025-09-15
8,  <p>The website is very confusing to navigate.</p>  ,Negative,Chat Log,2025-09-08
320,"It's okay, nothing special.",Neutral,Chat Log,2025-09-20
319,"It's okay, nothing special.",Neutral,Chat Log,2025-09-19
953,Simply the best experience I've had so far.,Positive,Chat Log,2025-09-23
946,The app crashed during payment. Very disappointed.,Negative,Email,2025-09-16
670,Customer service response time is too slow.,Negative,Chat Log,2025-09-10
657,  <p>Simply the best experience I've had so far. Highly recommend!</p>  ,Positive,Chat Log,2025-09-27
329,The website is very confusing to navigate.,Negative,Social Media,2025-09-29
968,"It's okay, nothing special.",Neutral,Email,2025-09-08
113,The app crashed during payment. Very disappointed.,Negative,Social Media,2025-09-23
429,Customer service response time is too slow.,Negative,Email,2025-09-09
643,"It's okay, nothing special. I might try it again.",Neutral,Chat Log,2025-09-13
573,Customer service response time is too slow. Very disappointed.,Negative,Social Media,2025-09-03
791,"It's okay, nothing special.",Neutral,Social Media,2025-09-11
217,Customer service response time is too slow.,Negative,Social Media,2025-09-07
834,The website is very confusing to navigate.,Negative,Social Media,2025-09-24
542,"Love the new update, everything is much smoother now!",Positive,Chat Log,2025-09-02
314,The website is very confusing to navigate.,Negative,Social Media,2025-09-14
829,The product arrived damaged and late.,Negative,Social Media,2025-09-19
553,The website is very confusing to navigate.,Negative,Email,2025-09-13
134,I can't find the setting I need. I might try it again.,Neutral,Social Media,2025-09-14
334,Customer service response time is too slow.,Negative,Social Media,2025-09-04
1044,  <p>Excellent quality and fast delivery!</p>  ,Positive,Email,2025-09-24
972,  <p>The product arrived damaged and late.</p>  ,Negative,Email,2025-09-12
1075,"Love the new update, everything is much smoother now!",Positive,Chat Log,2025-09-25
918,The product arrived damaged and late.,Negative,Social Media,2025-09-18
1003,Simply the best experience I've had so far.,Positive,Chat Log,2025-09-13
145,I can't find the setting I need.,Neutral,Email,2025-09-25
722,The product arrived damaged and late. Very disappointed.,Negative,Email,2025-09-02
734,Customer service response time is too slow.,Negative,Chat Log,2025-09-14
119,The product arrived damaged and late.,Negative,Social Media,2025-09-29
524,"  <p>Love the new update, everything is much smoother now!</p>  ",Positive,Email,2025-09-14
392,The product arrived damaged and late.,Negative,Social Media,2025-09-02
247,The app crashed during payment.,Negative,Chat Log,2025-09-07
105,The website is very confusing to navigate.,Negative,Email,2025-09-15
406,The app crashed during payment.,Negative,Social Media,2025-09-16
464,The website is very confusing to navigate.,Negative,Email,2025-09-14
94,"Love the new update, everything is much smoother now!",Positive,Chat Log,2025-09-04
527,  <p>Customer service response time is too slow.</p>  ,Negative,Email,2025-09-17
65,"It's okay, nothing special. I might try it again.",Neutral,Chat Log,2025-09-05
888,"  <p>Love the new update, everything is much smoother now!</p>  ",Positive,Social Media,2025-09-18
48,"It's okay, nothing special.",Neutral,Social Media,2025-09-18
1080,"Love the new update, everything is much smoother now! Highly recommend!",Positive,Email,2025-09-30
335,"Love the new update, everything is much smoother now!",Positive,Chat Log,2025-09-05
127,"Love the new update, everything is much smoother now!",Positive,Chat Log,2025-09-07
864,Excellent quality and fast delivery!,Positive,Chat Log,2025-09-24
379,The product arrived damaged and late.,Negative,Email,2025-09-19
957,Neutral feeling about the new features. I might try it again.,Neutral,Social Media,2025-09-27
421,The product arrived damaged and late.,Negative,Social Media,2025-09-01
479,Simply the best experience I've had so far.,Positive,Chat Log,2025-09-29
979,  <p>Neutral feeling about the new features.</p>  ,Neutral,Social Media,2025-09-19
708,Neutral feeling about the new features.,Neutral,Chat Log,2025-09-18
84,Excellent quality and fast delivery!,Positive,Chat Log,2025-09-24
712,"It's okay, nothing special.",Neutral,Chat Log,2025-09-22
887,I can't find the setting I need. I might try it again.,Neutral,Chat Log,2025-09-17
569,Neutral feeling about the new features.,Neutral,Email,2025-09-29
607,Customer service response time is too slow. Very disappointed.,Negative,Social Media,2025-09-07
501,The app crashed during payment. Very disappointed.,Negative,Social Media,2025-09-21
843,"  <p>It's okay, nothing special.</p>  ",Neutral,Social Media,2025-09-03
6,Neutral feeling about the new features.,Neutral,Email,2025-09-06
332,Simply the best experience I've had so far.,Positive,Social Media,2025-09-02
683,"It's okay, nothing special. I might try it again.",Neutral,Email,2025-09-23
26,Customer service response time is too slow.,Negative,Social Media,2025-09-26
118,"Love the new update, everything is much smoother now!",Positive,Chat Log,2025-09-28
1098,The website is very confusing to navigate.,Negative,Chat Log,2025-09-18
520,Simply the best experience I've had so far.,Positive,Email,2025-09-10
242,I can't find the setting I need. I might try it again.,Neutral,Email,2025-09-02
606,Customer service response time is too slow.,Negative,Social Media,2025-09-06
350,The website is very confusing to navigate.,Negative,Email,2025-09-20
352,The app crashed during payment.,Negative,Social Media,2025-09-22
681,The website is very confusing to navigate. Very disappointed.,Negative,Social Media,2025-09-21
102,Neutral feeling about the new features. I might try it again.,Neutral,Chat Log,2025-09-12
750,I can't find the setting I need. I might try it again.,Neutral,Chat Log,2025-09-30
539,"It's okay, nothing special.",Neutral,Chat Log,2025-09-29
